ID: GO:0005488
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
192	199	PREF	BINDING	inding
ID: GO:0046903
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
791	800	PREF	SECRETION	ecretion
1634	1643	PREF	SECRETION	ecretion
1755	1764	PREF	SECRETION	ecretion
1851	1860	PREF	SECRETION	ecretion
1903	1912	PREF	SECRETION	ecretion
2077	2086	PREF	SECRETION	ecretion
4126	4135	PREF	SECRETION	ecretion
6697	6706	PREF	SECRETION	ecretion
7111	7120	PREF	SECRETION	ecretion
7151	7160	PREF	SECRETION	ecretion
7244	7253	PREF	SECRETION	ecretion
22683	22692	PREF	SECRETION	ecretion
22716	22725	PREF	SECRETION	ecretion
36752	36761	PREF	SECRETION	ecretion
37061	37070	PREF	SECRETION	ecretion
37209	37218	PREF	SECRETION	ecretion
37261	37270	PREF	SECRETION	ecretion
37301	37310	PREF	SECRETION	ecretion
37373	37382	PREF	SECRETION	ecretion
37435	37444	PREF	SECRETION	ecretion
37712	37721	PREF	SECRETION	ecretion
37884	37893	PREF	SECRETION	ecretion
38043	38052	PREF	SECRETION	ecretion
38151	38160	PREF	SECRETION	ecretion
38373	38382	PREF	SECRETION	ecretion
38484	38493	PREF	SECRETION	ecretion
38642	38651	PREF	SECRETION	ecretion
38682	38691	PREF	SECRETION	ecretion
41338	41347	PREF	SECRETION	ecretion
41413	41422	PREF	SECRETION	ecretion
41589	41598	PREF	SECRETION	ecretion
42223	42232	PREF	SECRETION	ecretion
44140	44149	PREF	SECRETION	ecretion
44366	44375	PREF	SECRETION	ecretion
44411	44420	PREF	SECRETION	ecretion
45020	45029	PREF	SECRETION	ecretion
45444	45453	PREF	SECRETION	ecretion
45740	45749	PREF	SECRETION	ecretion
46160	46169	PREF	SECRETION	ecretion
46518	46527	PREF	SECRETION	ecretion
46606	46615	PREF	SECRETION	ecretion
49600	49609	PREF	SECRETION	ecretion
50311	50320	PREF	SECRETION	ecretion
50529	50538	PREF	SECRETION	ecretion
50568	50577	PREF	SECRETION	ecretion
50696	50705	PREF	SECRETION	ecretion
58569	58578	PREF	SECRETION	ecretion
58943	58952	PREF	SECRETION	ecretion
59502	59511	PREF	SECRETION	ecretion
ID: GO:0042632
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
2184	2207	PREF	CHOLESTEROL HOMEOSTASIS	holesterol homeostasis
ID: GO:0042592
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
2196	2207	SYN	HOMEOSTASIS	omeostasis
ID: GO:0007588
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
4042	4051	PREF	EXCRETION	xcretion
44220	44229	PREF	EXCRETION	xcretion
ID: GO:0005903
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
4289	4301	PREF	BRUSH BORDER	rush border
ID: GO:0016020
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
4333	4341	PREF	MEMBRANE	embrane
11534	11542	PREF	MEMBRANE	embrane
17412	17420	PREF	MEMBRANE	embrane
18409	18417	PREF	MEMBRANE	embrane
27743	27751	PREF	MEMBRANE	embrane
33515	33523	PREF	MEMBRANE	embrane
56437	56445	PREF	MEMBRANE	embrane
ID: GO:0005694
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
4443	4453	PREF	CHROMOSOME	hromosome
7377	7387	PREF	CHROMOSOME	hromosome
ID: GO:0016021
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
5257	5270	SYN	TRANSMEMBRANE	ransmembrane
5305	5318	SYN	TRANSMEMBRANE	ransmembrane
ID: GO:0044214
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
5257	5270	SYN	TRANSMEMBRANE	ransmembrane
5305	5318	SYN	TRANSMEMBRANE	ransmembrane
ID: GO:0005623
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
5849	5853	PREF	CELL	ell
7415	7419	PREF	CELL	ell
8362	8366	PREF	CELL	ell
8499	8503	PREF	CELL	ell
8920	8924	PREF	CELL	ell
8978	8982	PREF	CELL	ell
26273	26277	PREF	CELL	ell
47572	47576	PREF	CELL	ell
ID: GO:0004235
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
6095	6099	SYN	PUMP	ump
ID: GO:0051641
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
6123	6144	PREF	CELLULAR LOCALIZATION	ellular localization
ID: GO:0051179
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
6132	6144	PREF	LOCALIZATION	ocalization
32925	32937	PREF	LOCALIZATION	ocalization
48204	48216	PREF	LOCALIZATION	ocalization
ID: GO:0050892
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
6721	6742	PREF	INTESTINAL ABSORPTION	ntestinal absorption
ID: GO:0005574
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
7658	7661	SYN	DNA	NA
8430	8433	SYN	DNA	NA
8983	8986	SYN	DNA	NA
10119	10122	SYN	DNA	NA
10632	10635	SYN	DNA	NA
10809	10812	SYN	DNA	NA
12985	12988	SYN	DNA	NA
21436	21439	SYN	DNA	NA
26331	26334	SYN	DNA	NA
52370	52373	SYN	DNA	NA
ID: GO:0005020
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
7782	7785	SYN	KIT	it
ID: GO:0035825
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
8654	8678	PREF	HOMOLOGOUS RECOMBINATION	omologous recombination
ID: GO:0019835
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
10222	10227	SYN	LYSIS	ysis
17568	17573	SYN	LYSIS	ysis
18180	18185	SYN	LYSIS	ysis
ID: GO:0004175
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
10300	10310	SYN	PROTEINASE	roteinase
ID: GO:0005562
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
11769	11772	SYN	RNA	NA
