StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
76	85	GO:0009058	formation	FORMATION	SYN
176	183	GO:0003675	protein	PROTEIN	SYN
293	305	GO:0007369	gastrulation	GASTRULATION	PREF
499	512	GO:0009653	morphogenesis	MORPHOGENESIS	SYN
991	1007	GO:0060322	head development	HEAD DEVELOPMENT	PREF
996	1007	GO:0032502	development	DEVELOPMENT	SYN
1160	1163	GO:0032593	Gsc	GSC	SYN
1576	1585	GO:0009058	formation	FORMATION	SYN
1647	1657	GO:0065007	regulation	REGULATION	SYN
1681	1687	GO:0040007	growth	GROWTH	PREF
1692	1705	GO:0006351	transcription	TRANSCRIPTION	SYN
1692	1712	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
1910	1921	GO:0032502	development	DEVELOPMENT	SYN
2308	2315	GO:0003675	protein	PROTEIN	SYN
2605	2609	GO:0005623	cell	CELL	PREF
2735	2739	GO:0005623	cell	CELL	PREF
3073	3080	GO:0003675	protein	PROTEIN	SYN
3159	3166	GO:0003675	protein	PROTEIN	SYN
3159	3174	GO:0005515	protein binding	PROTEIN BINDING	PREF
3167	3174	GO:0005488	binding	BINDING	PREF
3299	3305	GO:0040007	growth	GROWTH	PREF
3331	3344	GO:0006351	transcription	TRANSCRIPTION	SYN
3833	3837	GO:0005623	cell	CELL	PREF
4040	4051	GO:0032502	development	DEVELOPMENT	SYN
4131	4143	GO:0007369	gastrulation	GASTRULATION	PREF
4209	4221	GO:0022008	neurogenesis	NEUROGENESIS	PREF
4392	4403	GO:0032502	development	DEVELOPMENT	SYN
4680	4692	GO:0007369	gastrulation	GASTRULATION	PREF
4801	4805	GO:0005623	cell	CELL	PREF
4956	4965	GO:0009058	formation	FORMATION	SYN
5300	5314	GO:0006826	iron transport	IRON TRANSPORT	SYN
5305	5314	GO:0006810	transport	TRANSPORT	PREF
5353	5359	GO:0098657	uptake	UPTAKE	SYN
5384	5395	GO:0006897	endocytosis	ENDOCYTOSIS	PREF
5527	5534	GO:0005634	nucleus	NUCLEUS	PREF
5576	5588	GO:0051179	localization	LOCALIZATION	PREF
5596	5609	GO:0006351	transcription	TRANSCRIPTION	SYN
5596	5616	GO:0000982	transcription factor	TRANSCRIPTION FACTOR	SYN
5673	5686	GO:0006351	transcription	TRANSCRIPTION	SYN
5882	5895	GO:0009653	morphogenesis	MORPHOGENESIS	SYN
6133	6139	GO:0040007	growth	GROWTH	PREF
6144	6157	GO:0006351	transcription	TRANSCRIPTION	SYN
6756	6760	GO:0060417	yolk	YOLK	PREF
6761	6764	GO:0071173	sac	SAC	SYN
6761	6764	GO:0035003	sac	SAC	SYN
6765	6778	GO:0030097	hematopoiesis	HEMATOPOIESIS	SYN
6782	6796	GO:0001570	vasculogenesis	VASCULOGENESIS	PREF
8683	8706	GO:0006355	transcriptional control	TRANSCRIPTIONAL CONTROL	SYN
8954	8966	GO:0051179	localization	LOCALIZATION	PREF
9192	9201	GO:0009058	formation	FORMATION	SYN
9183	9201	GO:0001706	endoderm formation	ENDODERM FORMATION	PREF
9697	9707	GO:0065007	regulation	REGULATION	SYN
9912	9921	GO:0009058	formation	FORMATION	SYN
10025	10034	GO:0009058	formation	FORMATION	SYN
10016	10034	GO:0001707	mesoderm formation	MESODERM FORMATION	PREF
10777	10784	GO:0042600	chorion	CHORION	PREF
11048	11055	GO:0042600	chorion	CHORION	PREF
11436	11445	GO:0009058	formation	FORMATION	SYN
11929	11941	GO:0051179	localization	LOCALIZATION	PREF
12473	12480	GO:0042600	chorion	CHORION	PREF
12787	12796	GO:0009058	formation	FORMATION	SYN
12778	12796	GO:0001707	mesoderm formation	MESODERM FORMATION	PREF
12769	12796	GO:0048341	paraxial mesoderm formation	PARAXIAL MESODERM FORMATION	PREF
13104	13115	GO:0032502	development	DEVELOPMENT	SYN
13290	13301	GO:0032502	development	DEVELOPMENT	SYN
13272	13301	GO:0048339	paraxial mesoderm development	PARAXIAL MESODERM DEVELOPMENT	PREF
13281	13301	GO:0007498	mesoderm development	MESODERM DEVELOPMENT	PREF
13716	13725	GO:0009058	formation	FORMATION	SYN
13699	13725	GO:0090009	primitive streak formation	PRIMITIVE STREAK FORMATION	PREF
13788	13797	GO:0009058	formation	FORMATION	SYN
13779	13797	GO:0001707	mesoderm formation	MESODERM FORMATION	PREF
13770	13797	GO:0048341	paraxial mesoderm formation	PARAXIAL MESODERM FORMATION	PREF
13818	13829	GO:0032502	development	DEVELOPMENT	SYN
13863	13869	GO:0040007	growth	GROWTH	PREF
13980	13989	GO:0023052	signaling	SIGNALING	PREF
14117	14126	GO:0009058	formation	FORMATION	SYN
15300	15315	GO:0010467	gene expression	GENE EXPRESSION	PREF
15997	16000	GO:0032593	Gsc	GSC	SYN
16116	16120	GO:0005623	cell	CELL	PREF
