ID: GO:0098687
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
1587	1605	PREF	CHROMOSOMAL REGION	hromosomal region
ID: GO:0006280
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
2244	2255	SYN	MUTAGENESIS	utagenesis
ID: GO:0004239
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
3947	3950	SYN	MAP	ap
6763	6766	SYN	MAP	ap
8652	8655	SYN	MAP	ap
ID: GO:0033736
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
4248	4251	SYN	LOD	OD
15770	15773	SYN	LOD	OD
ID: GO:0005694
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
4294	4304	PREF	CHROMOSOME	hromosome
15714	15724	PREF	CHROMOSOME	hromosome
24770	24780	PREF	CHROMOSOME	hromosome
28952	28962	PREF	CHROMOSOME	hromosome
ID: GO:0005574
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
6627	6630	SYN	DNA	NA
9381	9384	SYN	DNA	NA
10016	10019	SYN	DNA	NA
15264	15267	SYN	DNA	NA
16679	16682	SYN	DNA	NA
19877	19880	SYN	DNA	NA
20372	20375	SYN	DNA	NA
21883	21886	SYN	DNA	NA
23060	23063	SYN	DNA	NA
26956	26959	SYN	DNA	NA
28748	28751	SYN	DNA	NA
ID: GO:0045292
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
8612	8620	SYN	SPLICING	plicing
ID: GO:0003675
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
11853	11860	SYN	PROTEIN	rotein
12163	12170	SYN	PROTEIN	rotein
12597	12604	SYN	PROTEIN	rotein
13451	13458	SYN	PROTEIN	rotein
13679	13686	SYN	PROTEIN	rotein
17270	17277	SYN	PROTEIN	rotein
24201	24208	SYN	PROTEIN	rotein
24256	24263	SYN	PROTEIN	rotein
27815	27822	SYN	PROTEIN	rotein
31115	31122	SYN	PROTEIN	rotein
ID: GO:0023052
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
11996	12005	PREF	SIGNALING	ignaling
15118	15127	PREF	SIGNALING	ignaling
ID: GO:0005488
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12502	12509	PREF	BINDING	inding
12647	12654	PREF	BINDING	inding
12761	12768	PREF	BINDING	inding
ID: GO:0016021
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12554	12567	SYN	TRANSMEMBRANE	ransmembrane
ID: GO:0044214
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12554	12567	SYN	TRANSMEMBRANE	ransmembrane
ID: GO:0016310
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12614	12629	PREF	PHOSPHORYLATION	hosphorylation
ID: GO:0005783
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12733	12754	PREF	ENDOPLASMIC RETICULUM	ndoplasmic reticulum
ID: GO:0005622
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
12776	12789	PREF	INTRACELLULAR	ntracellular
15099	15112	PREF	INTRACELLULAR	ntracellular
ID: GO:0019815
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
13572	13580	SYN	ANTIBODY	ntibody
18627	18635	SYN	ANTIBODY	ntibody
18721	18729	SYN	ANTIBODY	ntibody
19592	19600	SYN	ANTIBODY	ntibody
28110	28118	SYN	ANTIBODY	ntibody
28208	28216	SYN	ANTIBODY	ntibody
31627	31635	SYN	ANTIBODY	ntibody
ID: GO:0042571
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
13572	13580	SYN	ANTIBODY	ntibody
18627	18635	SYN	ANTIBODY	ntibody
18721	18729	SYN	ANTIBODY	ntibody
19592	19600	SYN	ANTIBODY	ntibody
28110	28118	SYN	ANTIBODY	ntibody
28208	28216	SYN	ANTIBODY	ntibody
31627	31635	SYN	ANTIBODY	ntibody
ID: GO:0003823
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
13572	13580	SYN	ANTIBODY	ntibody
18627	18635	SYN	ANTIBODY	ntibody
18721	18729	SYN	ANTIBODY	ntibody
19592	19600	SYN	ANTIBODY	ntibody
28110	28118	SYN	ANTIBODY	ntibody
28208	28216	SYN	ANTIBODY	ntibody
31627	31635	SYN	ANTIBODY	ntibody
ID: GO:0009405
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
15153	15165	PREF	PATHOGENESIS	athogenesis
ID: GO:1990277
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17120	17126	SYN	MATING	ating
17157	17163	SYN	MATING	ating
ID: GO:0007618
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17120	17126	PREF	MATING	ating
17157	17163	PREF	MATING	ating
ID: GO:0009291
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17120	17126	SYN	MATING	ating
17157	17163	SYN	MATING	ating
ID: GO:0000747
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
17120	17126	SYN	MATING	ating
17157	17163	SYN	MATING	ating
ID: GO:0019835
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
24295	24300	SYN	LYSIS	ysis
24405	24410	SYN	LYSIS	ysis
ID: GO:0006983
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
31779	31782	SYN	EOR	or
ID: GO:0007568
StartIndex	EndIndex	GO:ID	Term	OntologyTerm	MatchType
32246	32251	PREF	AGING	ging
